sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid
0,2,0,0,0,0,0,0,194,5,1,0
0,8,1,0,0,0,0,1,153,5,1,0
0,43,0,0,0,0,1,0,370,0,0,1
0,14,0,0,0,0,4,0,436,9,2,1
0,8,0,0,0,0,2,1,140,3,0,1
1,37,0,0,0,0,3,1,44,0,0,0
1,21,1,1,0,0,1,1,437,3,0,0
0,12,1,0,0,0,3,0,304,6,1,1
1,12,0,0,0,0,1,0,56,6,1,0
1,30,1,0,0,0,2,1,44,1,0,0
1,4,0,0,0,0,1,0,436,1,0,0
1,28,1,0,0,0,6,0,141,0,0,1
0,31,1,0,0,0,6,0,90,5,1,0
1,13,1,0,0,0,0,0,121,4,1,0
1,7,0,0,0,0,1,1,44,1,0,1
0,14,0,0,0,0,5,0,15,6,1,0
1,44,0,0,0,0,8,0,318,3,0,0
0,19,1,0,0,0,6,0,318,9,2,0
1,37,1,0,0,0,1,0,194,0,0,0
1,10,0,0,0,0,6,1,342,5,1,1
1,60,1,0,0,0,1,1,140,0,0,1
1,38,1,0,0,0,0,0,318,0,0,0
1,20,0,2,2,1,22,0,74,7,2,1
1,4,0,0,0,0,1,0,250,4,1,1
1,29,0,0,0,0,23,1,287,7,2,1
1,5,0,0,0,0,0,1,44,1,0,1
0,20,1,0,0,0,2,0,318,4,1,1
1,48,0,0,0,0,3,0,5,0,0,0
1,27,1,0,0,0,8,1,428,3,0,1
1,14,0,0,0,0,13,0,256,9,2,1
1,19,0,0,0,0,2,1,44,8,2,1
1,21,1,0,0,0,0,0,311,3,0,1
1,8,0,0,0,0,9,0,125,8,2,1
1,27,1,0,0,0,2,0,215,2,0,0
1,5,0,0,0,0,0,0,317,2,0,1
1,16,0,0,0,0,2,1,44,1,0,0
0,5,0,0,0,0,1,1,44,3,0,0
1,32,1,0,0,0,1,0,364,0,0,0
0,19,1,0,0,0,0,1,212,2,0,0
1,26,1,0,0,0,4,1,44,3,0,0
0,17,0,0,1,0,23,0,177,8,2,1
1,8,0,0,0,0,2,0,181,9,2,1
1,9,0,0,0,0,0,1,93,1,0,0
0,10,0,0,0,0,0,0,9,7,2,0
1,25,1,0,0,0,11,0,436,4,1,1
0,10,1,0,0,0,7,0,177,8,2,1
1,20,0,0,0,0,2,0,141,0,0,0
1,9,1,0,0,0,2,1,402,3,0,0
0,10,0,0,0,0,1,0,436,8,2,0
1,38,1,0,0,0,7,0,176,0,0,1
1,20,0,0,0,0,15,0,318,8,2,0
1,10,0,0,0,0,2,1,287,4,1,0
1,27,0,0,0,0,3,0,436,5,1,0
1,43,1,0,0,0,1,0,436,0,0,0
0,33,1,0,0,0,0,1,140,0,0,1
1,33,1,0,0,0,0,1,44,1,0,0
1,30,0,0,0,0,0,0,20,0,0,0
1,19,1,0,0,0,4,0,436,2,0,1
0,12,0,0,0,0,2,0,194,6,1,0
0,23,0,0,0,0,5,1,44,5,1,0
1,9,0,0,0,0,11,0,347,9,2,1
1,19,0,0,0,0,0,1,44,0,0,0
1,36,0,0,0,0,11,0,188,8,2,0
1,5,0,0,0,0,2,0,348,8,2,0
0,8,0,0,0,0,2,0,436,3,0,1
1,23,0,0,0,0,0,1,44,0,0,0
1,34,1,0,0,0,0,0,66,0,0,0
1,25,1,0,0,0,13,0,141,3,0,1
1,34,0,0,0,0,0,0,426,3,0,0
1,10,1,0,0,0,1,0,436,0,0,0
1,12,0,0,0,2,11,1,44,8,2,1
1,10,1,0,0,0,1,0,93,4,1,0
1,4,0,0,0,0,0,0,250,3,0,0
1,12,0,0,0,0,4,0,141,1,0,0
1,13,1,0,0,0,0,0,65,7,2,1
1,19,1,0,0,0,0,0,194,1,0,1
1,14,0,0,1,0,14,0,21,8,2,0
1,8,0,0,1,0,4,1,287,7,2,0
1,35,1,0,0,0,1,1,44,0,0,0
1,10,0,0,0,0,25,0,436,7,2,1
1,26,1,0,0,0,8,1,44,4,1,1
1,7,0,0,0,0,0,0,194,2,0,0
1,4,1,0,0,1,1,1,435,7,2,1
1,18,1,0,0,0,8,0,176,6,1,1
1,12,1,0,0,0,4,0,161,1,0,0
1,4,0,0,0,0,3,1,333,8,2,1
0,6,1,0,0,0,1,1,44,6,1,1
1,9,0,0,0,0,3,1,431,1,0,1
0,5,1,0,0,4,5,0,436,4,1,1
1,11,0,0,0,0,1,1,44,2,0,0
1,2,0,0,0,0,1,0,71,7,2,1
1,12,0,0,0,0,2,0,71,5,1,1
1,9,0,0,0,0,4,0,436,3,0,0
1,13,1,0,0,0,2,1,436,3,0,0
0,19,0,0,0,0,2,0,436,0,0,0
1,2,0,0,0,0,0,0,296,7,2,0
0,34,0,0,0,0,0,0,58,0,0,0
0,5,0,0,0,0,0,0,71,3,0,1
0,30,0,0,0,0,0,0,14,1,0,0
1,48,0,0,0,0,8,0,125,5,1,1
1,7,1,0,0,0,0,0,121,4,1,0
1,9,1,0,0,0,0,0,194,5,1,1
1,12,0,0,0,0,11,0,409,6,1,1
1,4,0,0,1,1,3,1,44,9,2,1
0,4,1,0,0,0,1,0,250,2,0,0
1,17,0,0,0,0,2,0,436,9,2,0
1,14,1,0,0,0,2,0,436,3,0,0
0,23,0,0,0,0,2,1,50,2,0,0
1,26,0,0,0,0,24,1,245,6,1,0
1,34,0,0,0,0,3,0,318,5,1,1
1,25,0,0,0,0,0,0,171,0,0,0
1,19,1,0,0,0,3,0,436,0,0,0
1,10,0,0,0,0,3,1,287,3,0,1
1,52,1,0,0,0,1,1,44,0,0,0
1,36,1,0,0,0,6,0,318,1,0,1
1,28,1,0,0,0,3,0,436,3,0,0
1,3,0,0,0,0,0,1,247,8,2,1
1,8,0,0,0,0,1,1,44,7,2,1
1,16,1,0,0,0,5,1,44,3,0,0
1,1,0,0,0,0,1,0,194,4,1,1
1,16,0,0,0,0,5,1,139,3,0,0
1,5,1,0,0,0,0,0,14,4,1,1
1,16,0,0,0,0,5,0,326,3,0,1
1,12,0,0,0,0,2,0,436,0,0,0
1,21,0,0,0,0,6,0,21,2,0,1
1,15,1,0,0,0,1,1,140,2,0,1
1,40,1,0,0,0,2,0,7,2,0,0
0,3,0,0,0,0,0,1,44,5,1,0
1,3,0,0,0,0,1,0,41,4,1,0
1,5,0,0,0,1,4,1,287,7,2,1
1,44,1,0,0,0,0,0,161,0,0,0
1,9,0,1,0,1,4,1,287,7,2,1
1,19,1,0,0,0,5,0,50,2,0,0
0,14,0,0,0,0,5,0,9,0,0,0
1,9,0,0,0,0,0,1,44,0,0,0
1,26,1,0,0,0,0,1,44,0,0,1
1,10,1,0,0,0,3,1,44,2,0,1
0,24,1,0,0,0,0,0,318,1,0,0
1,9,0,0,0,0,0,0,9,1,0,0
1,2,0,0,0,0,0,0,188,9,2,1
0,33,1,0,0,0,0,1,50,0,0,0
1,38,1,0,0,0,0,1,48,0,0,0
1,11,0,0,0,0,7,0,436,8,2,0
1,2,0,0,0,0,0,0,194,8,2,1
1,35,1,0,0,0,6,0,436,0,0,0
1,9,1,0,0,0,8,0,436,4,1,0
1,6,0,0,1,0,2,0,64,8,2,1
1,35,1,0,0,0,34,0,85,5,1,1
1,10,1,0,0,0,2,1,44,2,0,1
1,27,0,0,0,0,1,0,90,0,0,0
0,18,0,0,0,0,0,0,9,6,1,0
0,7,1,0,0,0,2,1,247,3,0,1
1,10,1,0,0,0,1,0,250,4,1,0
0,3,0,0,0,0,0,0,349,7,2,1
1,18,1,0,0,0,0,1,428,2,0,0
1,6,0,0,0,0,0,0,194,2,0,0
1,10,0,0,0,0,3,0,436,5,1,1
1,11,0,0,0,0,0,0,14,0,0,0
0,12,1,0,0,0,0,1,44,5,1,0
0,7,0,0,0,0,2,0,436,5,1,0
1,14,0,0,1,0,12,0,436,8,2,1
1,5,0,0,0,1,1,0,194,5,1,0
1,29,0,0,0,0,3,0,296,2,0,0
1,19,1,0,0,0,0,0,183,0,0,0
1,1,0,0,2,0,2,0,268,9,2,1
0,3,1,0,0,2,0,0,318,5,1,0
1,51,1,0,0,0,0,1,15,0,0,0
1,3,1,0,0,0,2,0,436,5,1,0
1,8,0,0,0,1,6,1,44,9,2,1
1,4,1,0,0,0,0,0,318,3,0,0
0,5,0,0,0,0,0,0,141,4,1,1
1,31,0,0,0,0,3,0,188,4,1,0
1,11,0,0,0,1,2,1,44,3,0,0
0,42,1,0,0,0,0,1,44,0,0,0
0,8,0,0,0,0,0,1,437,9,2,0
1,5,0,2,0,0,3,0,284,9,2,1
1,12,1,0,0,0,0,0,318,3,0,0
1,3,0,0,1,0,1,0,194,2,0,0
1,4,1,0,0,0,2,1,287,5,1,1
1,39,0,0,0,0,18,0,436,7,2,0
1,3,0,0,0,0,4,0,436,8,2,1
1,3,0,0,0,0,0,0,64,4,1,1
1,16,1,0,0,0,1,1,44,0,0,0
0,32,1,0,0,0,1,1,44,0,0,1
1,22,1,0,0,0,0,0,436,6,1,1
1,7,0,0,0,0,7,0,382,7,2,1
0,35,1,0,0,0,1,1,44,0,0,0
0,6,0,0,0,0,0,0,14,3,0,0
1,24,0,0,0,0,1,0,436,0,0,0
1,10,0,0,0,0,1,1,44,2,0,0
1,6,1,0,0,0,1,1,136,3,0,0
1,8,0,1,1,0,6,0,347,7,2,1
1,4,0,0,0,0,4,0,194,8,2,1
1,3,1,0,0,0,3,1,436,6,1,0
1,19,0,0,0,0,23,0,50,8,2,1
1,17,0,0,0,0,2,0,317,4,1,0
1,35,0,0,0,0,2,0,176,0,0,0
1,42,0,0,0,0,1,0,436,0,0,0
1,11,0,0,0,0,7,0,318,3,0,0
1,30,1,1,0,0,23,0,177,7,2,1
0,34,1,0,0,0,0,1,44,0,0,0
1,9,0,0,0,0,12,0,141,7,2,1
1,10,0,0,0,0,5,0,436,8,2,0
1,15,1,0,0,0,3,1,44,2,0,0
1,29,1,0,0,0,5,0,318,9,2,1
1,18,0,0,0,0,14,0,388,6,1,1
1,11,0,1,0,0,2,0,21,4,1,0
1,4,0,0,0,1,0,1,415,8,2,1
1,8,0,0,0,2,6,0,256,6,1,0
1,7,1,0,0,0,0,0,341,1,0,0
1,50,1,0,0,0,2,0,15,0,0,0
1,38,0,0,0,0,5,0,141,2,0,0
1,9,0,0,0,0,9,0,21,7,2,1
1,34,1,0,0,0,4,0,194,0,0,1
1,14,0,0,0,0,3,0,50,1,0,0
0,21,1,0,0,0,0,1,136,5,1,0
1,38,1,0,0,0,0,1,44,0,0,0
0,4,0,0,0,0,0,0,284,6,1,0
0,9,0,0,0,0,1,0,421,1,0,1
1,35,0,0,0,0,11,0,436,5,1,0
1,7,1,0,0,0,0,1,140,1,0,1
1,4,1,0,0,0,0,0,213,2,0,0
0,40,1,0,0,0,2,1,106,0,0,0
1,13,0,0,0,0,7,1,21,2,0,1
1,4,1,0,0,0,1,0,165,4,1,1
1,10,0,0,0,0,8,0,426,5,1,1
1,2,0,0,0,0,0,0,188,6,1,1
1,11,1,0,0,0,0,1,44,5,1,1
1,11,0,0,0,0,8,0,436,9,2,0
1,40,0,0,0,0,21,1,436,6,1,1
1,4,0,0,0,0,3,0,194,6,1,0
1,19,1,0,0,0,0,0,91,3,0,0
1,39,0,0,0,0,1,0,177,4,1,1
1,9,1,0,0,0,3,1,182,0,0,0
1,8,0,0,0,0,3,0,65,3,0,0
1,6,1,0,1,1,3,0,284,7,2,1
1,15,1,0,0,0,0,0,21,0,0,0
1,11,0,0,0,0,2,0,436,5,1,0
0,6,0,0,0,0,3,0,194,9,2,1
1,1,1,0,0,1,1,0,171,9,2,1
1,18,1,0,0,0,2,1,44,0,0,0
0,6,1,0,0,0,0,0,284,4,1,0
1,16,1,0,0,0,0,1,105,0,0,0
1,2,0,1,0,1,1,0,436,9,2,1
1,6,0,0,0,0,1,1,44,1,0,1
1,43,1,0,0,0,4,0,436,0,0,0
0,32,0,0,0,0,3,0,14,1,0,0
1,12,0,0,0,0,1,1,44,0,0,0
1,20,0,0,0,0,5,0,317,2,0,0
1,6,1,0,0,0,0,1,44,0,0,0
1,27,0,0,0,0,16,0,436,1,0,0
0,28,0,0,0,0,2,0,194,9,2,1
1,23,1,0,0,0,0,1,44,0,0,1
1,9,0,0,0,0,13,1,287,7,2,1
0,33,0,0,0,0,16,0,318,7,2,0
1,8,0,0,0,0,1,1,44,5,1,1
1,11,0,0,0,0,3,0,320,4,1,1
1,34,1,0,0,0,6,0,194,4,1,1
1,10,1,0,0,0,1,0,5,3,0,1
1,37,0,0,0,0,5,0,177,2,0,1
1,8,0,1,1,0,10,0,18,8,2,1
1,10,0,0,0,0,5,0,300,9,2,0
1,45,1,0,0,0,2,0,174,0,0,0
1,24,0,0,0,0,0,0,17,0,0,0
1,5,0,1,2,2,6,0,141,5,1,0
1,36,0,0,0,0,28,0,318,8,2,1
1,17,0,0,0,1,8,0,172,6,1,1
0,6,0,1,0,0,6,0,436,8,2,1
1,36,0,0,0,0,2,1,44,0,0,0
1,40,0,0,0,0,12,1,105,5,1,1
1,5,1,0,0,1,1,1,342,4,1,1
1,17,0,0,0,0,1,1,44,1,0,0
1,2,0,0,0,0,1,0,185,9,2,1
1,33,1,0,0,0,0,0,171,0,0,0
1,19,1,0,0,0,3,0,318,1,0,0
1,29,1,0,0,0,3,0,138,0,0,0
1,16,1,0,0,0,4,0,317,5,1,1
1,38,1,0,0,0,0,0,194,0,0,0
1,41,1,0,0,0,1,0,60,0,0,1
0,6,1,0,0,1,6,0,257,8,2,1
1,3,1,0,0,4,2,1,30,8,2,1
1,8,0,0,0,0,2,1,436,8,2,0
1,8,0,0,0,0,1,0,72,1,0,0
0,12,1,0,0,0,0,1,140,1,0,0
1,11,1,0,0,0,6,0,436,8,2,1
1,11,1,0,0,0,0,1,44,3,0,1
1,36,0,0,0,0,0,1,44,0,0,0
1,11,0,0,0,0,4,0,165,3,0,1
0,41,1,0,0,0,0,1,106,0,0,0
1,20,0,0,0,0,0,0,383,4,1,0
1,11,0,0,0,0,4,0,436,6,1,1
1,9,1,0,0,0,1,1,245,2,0,1
1,48,0,0,0,0,32,0,91,5,1,1
1,9,1,0,0,0,2,0,318,4,1,0
1,33,1,0,0,0,1,1,106,0,0,0
1,17,1,0,0,0,1,0,436,1,0,0
1,8,0,0,0,0,1,0,383,6,1,0
1,34,1,0,0,0,4,1,44,2,0,0
0,17,0,0,0,0,12,1,379,1,0,0
0,8,0,0,0,0,0,1,44,1,0,0
0,30,1,0,0,0,0,1,211,0,0,0
1,15,0,0,0,0,2,1,44,2,0,0
0,16,0,0,0,0,6,0,58,3,0,0
1,41,0,0,0,0,10,0,436,6,1,1
1,11,0,0,0,0,5,0,257,4,1,1
1,6,1,0,0,0,0,0,318,1,0,0
1,30,1,0,0,0,1,0,5,6,1,1
1,37,0,0,0,0,0,1,44,7,2,1
1,34,0,0,0,0,4,1,151,4,1,0
1,2,0,0,0,0,0,0,320,3,0,1
1,7,1,0,0,0,4,0,318,3,0,1
1,6,1,0,0,0,0,0,5,1,0,0
1,5,1,0,0,0,0,1,44,8,2,0
1,9,1,0,1,3,6,0,171,3,0,0
1,7,0,0,1,0,1,1,44,2,0,1
1,13,0,0,0,0,0,0,405,1,0,0
1,7,0,0,1,0,6,0,436,3,0,1
1,14,1,0,0,0,1,0,436,0,0,1
1,3,1,0,0,0,0,0,194,2,0,1
1,7,1,0,0,0,0,0,317,2,0,0
1,17,0,0,0,0,0,0,194,6,1,0
1,24,0,0,0,0,14,0,138,6,1,1
1,6,1,0,0,1,9,1,428,9,2,1
1,4,1,1,0,4,6,0,318,9,2,1
1,29,1,0,0,0,1,1,44,0,0,0
1,9,0,0,0,0,5,0,9,8,2,1
1,28,1,0,0,0,2,0,300,5,1,1
1,26,0,0,0,0,1,1,338,2,0,0
1,9,0,0,0,0,0,0,79,4,1,0
1,5,1,0,0,0,2,0,317,1,0,0
1,24,0,0,0,0,8,0,436,4,1,0
1,40,0,0,0,0,6,0,177,5,1,0
1,8,0,0,0,1,3,0,188,5,1,0
1,21,0,0,0,0,3,0,194,2,0,1
1,3,0,0,2,0,3,0,436,4,1,1
1,45,1,0,0,0,1,1,106,0,0,0
1,4,0,0,1,0,3,0,436,6,1,1
1,32,0,0,0,0,3,1,44,2,0,0
1,20,0,0,0,0,0,0,60,0,0,0
1,23,1,0,0,0,1,0,363,5,1,0
1,10,0,7,0,1,16,0,21,7,2,1
0,12,0,0,0,0,0,1,44,2,0,0
1,5,0,0,0,0,1,0,6,4,1,0
1,7,1,0,0,0,2,0,436,3,0,1
1,22,1,0,0,0,5,0,233,3,0,0
1,9,0,0,0,0,5,1,94,3,0,1
1,26,1,0,0,0,11,1,44,2,0,0
0,17,0,0,0,0,6,0,436,1,0,1
1,24,1,0,0,0,0,1,44,0,0,0
1,20,0,0,0,0,15,0,138,6,1,0
0,7,0,0,0,0,0,1,342,2,0,0
1,6,1,0,0,0,1,0,436,3,0,0
0,31,1,0,0,0,2,1,140,0,0,1
1,32,1,0,0,0,5,0,141,0,0,1
1,10,1,0,0,0,8,0,436,5,1,1
1,48,1,0,0,0,0,1,44,0,0,1
0,28,1,0,0,0,0,1,44,0,0,0
1,12,0,0,0,1,5,0,141,5,1,1
0,4,1,0,0,0,0,1,44,2,0,0
1,5,1,0,0,0,1,1,436,3,0,0
1,6,0,1,0,0,10,0,436,9,2,1
1,3,0,4,0,0,4,0,436,6,1,1
1,10,0,0,0,0,4,0,436,7,2,0
1,7,0,0,0,0,0,1,135,2,0,0
0,3,1,0,0,0,0,0,65,6,1,0
1,9,0,0,0,0,0,1,44,1,0,0
0,6,1,0,0,1,0,0,65,4,1,0
1,2,0,1,0,0,1,0,436,2,0,0
1,13,0,0,0,0,3,1,430,7,2,1
1,9,0,0,0,0,3,1,44,6,1,1
1,41,0,0,0,0,17,0,194,4,1,1
1,22,0,0,0,0,0,0,17,1,0,0
1,4,0,0,0,0,11,0,318,9,2,1
0,20,0,0,0,0,1,0,347,0,0,0
1,12,0,0,0,0,1,1,287,6,1,0
1,9,1,0,0,0,6,0,436,5,1,1
1,25,0,0,0,0,1,1,44,0,0,0
0,41,1,0,0,0,0,1,140,0,0,0
1,19,1,0,0,0,2,1,105,0,0,0
1,10,0,0,0,0,5,1,171,6,1,1
1,20,1,0,0,0,0,0,318,0,0,0
1,4,0,0,0,1,0,0,34,7,2,1
1,7,0,0,0,0,4,0,191,4,1,1
1,33,1,0,0,0,0,1,105,0,0,0
1,11,1,0,0,0,2,1,171,1,0,1
1,10,0,0,0,0,10,0,141,2,0,0
1,8,0,0,0,0,6,1,287,7,2,0
1,37,0,0,0,0,9,1,436,2,0,1
0,5,1,0,0,0,3,0,257,9,2,0
0,4,0,0,0,0,0,1,157,4,1,0
0,1,1,0,0,0,2,0,318,9,2,1
1,13,0,0,0,0,1,1,44,0,0,0
1,11,0,0,0,0,0,1,105,0,0,0
1,43,0,0,0,0,15,0,177,5,1,1
1,6,0,0,0,0,4,0,318,9,2,1
1,2,0,0,1,1,4,0,436,8,2,1
1,8,1,0,0,0,3,0,57,6,1,1
1,9,1,0,0,0,5,1,44,8,2,0
1,7,1,0,0,0,1,0,17,4,1,0
1,5,1,0,2,0,3,0,225,4,1,1
1,20,0,0,0,0,0,0,171,0,0,0
1,9,0,0,2,1,18,0,177,8,2,1
0,17,1,0,0,0,0,0,341,2,0,1
0,40,0,0,0,0,4,0,252,1,0,1
0,39,1,0,0,0,0,1,135,3,0,1
1,3,0,0,0,1,0,0,421,2,0,0
0,4,0,0,0,0,0,0,194,7,2,0
1,12,0,0,0,0,0,0,65,1,0,0
1,6,1,0,0,0,1,0,436,9,2,1
1,4,1,0,0,0,2,0,50,3,0,1
1,11,1,0,0,0,3,0,12,3,0,1
1,12,0,0,0,0,8,0,318,7,2,1
0,13,0,0,0,0,10,0,141,5,1,0
0,27,1,0,0,0,1,0,176,5,1,0
1,5,0,0,0,0,4,0,436,6,1,0
1,21,1,0,0,0,2,0,165,1,0,1
1,13,0,0,0,0,0,0,318,7,2,1
1,4,0,0,0,0,1,0,64,3,0,1
0,9,0,0,0,0,9,0,28,1,0,1
1,9,0,0,0,0,13,0,436,6,1,1
1,20,1,0,0,0,1,0,91,0,0,1
1,13,0,0,0,0,23,0,268,9,2,1
1,29,0,0,0,0,20,0,382,8,2,0
1,4,0,0,1,0,3,0,436,6,1,0
1,17,0,0,0,1,1,1,44,8,2,1
1,47,0,0,0,0,2,1,434,1,0,1
1,17,0,0,0,0,0,1,153,3,0,0
0,15,0,0,0,0,0,0,188,2,0,0
1,35,1,0,0,0,1,1,44,0,0,0
1,3,0,0,0,0,0,0,235,4,1,0
1,19,0,0,0,0,11,0,21,3,0,0
1,15,1,0,0,0,5,0,436,4,1,0
1,13,0,0,0,0,2,1,30,6,1,0
0,13,0,0,0,0,0,1,44,0,0,0
0,41,1,0,0,0,2,0,194,2,0,0
1,9,0,0,0,0,0,1,318,1,0,0
1,18,0,0,0,0,0,1,44,6,1,1
1,28,0,0,0,0,17,0,436,8,2,1
1,4,0,0,0,1,3,0,436,8,2,0
0,10,1,0,0,0,0,1,106,1,0,0
0,16,1,0,0,1,15,0,194,8,2,1
1,5,0,0,0,1,2,1,44,9,2,1
1,9,0,0,0,0,3,0,194,3,0,0
1,30,1,0,0,0,3,0,194,0,0,1
1,12,0,0,0,0,15,0,256,8,2,1
0,14,0,0,0,0,2,0,284,1,0,0
1,13,0,0,0,0,5,0,436,6,1,0
1,18,0,0,1,0,4,1,44,4,1,0
1,18,0,0,0,0,1,1,44,4,1,0
